Login Date,IP Address,User Agent,Login Type
Fri Jun 14 12:18:26 UTC 2024,103.153.105.200,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",Login
Mon Jun 17 13:09:27 UTC 2024,103.147.209.196,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1",Login
Sun Dec 08 11:45:03 UTC 2024,117.254.186.29,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.1012 samsung_SM-S911B:android_14,Login
Sat Jan 11 05:28:26 UTC 2025,2409:40f3:c:ecb:75bf:8f47:a964:7461,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Safari/537.36",Login
Thu Jun 12 16:55:55 UTC 2025,2409:40f2:2044:ff6a:d01e:52f3:e7f9:d7cf,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/28.0 Chrome/130.0.0.0 Mobile Safari/537.36",Login
Thu Sep 04 15:03:37 UTC 2025,2409:40f3:204d:bb2e:f229:8ff0:3939:6701,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:142.0) Gecko/20100101 Firefox/142.0,Login
Sun Oct 26 20:20:20 UTC 2025,2409:40f3:2018:e44e:c0c1:6b92:29fc:b646,Mozilla/5.0 (X11; Linux x86_64; rv:137.0) Gecko/20100101 Firefox/137.0,Login
Fri Nov 07 15:46:02 UTC 2025,103.151.189.98,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:142.0) Gecko/20100101 Firefox/142.0,Login
