ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=intern, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:114467055}]}}, facets={organizations={selectedValues=[urn:li:organization:31260383]}, workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3, urn:li:workplaceType:2]}}}",3505764973
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=robotics internship, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102713980}]}}, facets={}}",3497517685
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=robotics intern, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102713980}]}}, facets={}}",3497517357
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=robotics engineer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:106888327, radiusInKms=40.2335}]}}, facets={}}",1741228773
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=internship, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102713980}]}}, facets={}}",1740859333
